No,Kecamatan,Longsor,Gempa
1,Jatiluhur,16,0
2,Sukasari,8,0
3,Maniis,8,1
4,Tegalwaru,10,0
5,Plered,5,0
6,Sukatani,14,5
7,Darangdan,10,2
8,Bojong,9,10
9,Wanayasa,14,0
10,Kiarapedes,2,0
11,Pasawahan,21,1
12,Pondoksalam,10,1
13,Purwakarta,7,0
14,Babakancikao,0,0
15,Campaka,2,0
16,Cibatu,1,0
17,Bungursari,2,0
